invoice_id,location_id,customer_id,route_id,internal_id,status,pieces,total,base_price,upcharge_total,alteration_total,void_total,coupon_total,adjustment_total,discount_total,enviro_total,tax_total,writeoff_total,detail_clerk,pickup_clerk,kiosk,coupon,import_year,dropoff_at,ready_at,pickup_at,updated_at,created_at,visit_id,location
22443672,1,1382679,45,12-010443,processing,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,PA,,0,,2025,2025-12-01T22:15:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14206073,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443674,1,23528,45,12-010445,processing,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,DI,,0,,2025,2025-12-01T22:15:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14206075,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443673,1,18491,45,12-010444,processing,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,EA,,0,,2025,2025-12-01T22:15:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14206074,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443671,1,18474,45,12-010442,processing,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,PA,,0,,2025,2025-12-01T22:15:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14206072,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443670,1,25939,45,12-010441,processing,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,JM,,0,,2025,2025-12-01T22:10:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14206029,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443669,1,1473897,45,12-010440,processing,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,PA,,0,,2025,2025-12-01T22:08:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14206006,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443666,1,27919,57,12-010436,processing,1,12.81,12.81,0.0,0,0,0.0,0,0,0,0,0,PA,,0,,2025,2025-12-01T21:48:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14205822,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443667,1,27919,57,12-010438,processing,1,12.81,12.81,0.0,0,0,0.0,0,0,0,0,0,PA,,0,,2025,2025-12-01T21:48:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14205822,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443668,1,27919,57,12-010439,processing,1,42.79,42.79,0.0,0,0,0.0,0,0,0,0,0,PA,,0,,2025,2025-12-01T21:48:00.000Z,,,2025-12-02T08:15:18.000Z,2025-12-02T08:15:18.000Z,14205822,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443773,3,36082,69,12-030098,processing,5,44.9,44.9,0.0,0,0,0.0,0,0,0,0,0,KAC,,0,,2025,2025-12-01T21:45:00.000Z,,,2025-12-02T08:15:20.000Z,2025-12-02T08:15:20.000Z,14205797,"{'type_name': 'Store', 'location_id': 3, 'company_id': 1, 'internal_id': '3', 'type': 1, 'name': 'Store #0003', 'lat': None, 'lng': None, 'barcode_abbr': '', 'manager': None, 'hours': None, 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443775,3,36082,69,12-030100,processing,4,24.2,17.0,7.2,0,0,0.0,0,0,0,0,0,KAC,,0,,2025,2025-12-01T21:45:00.000Z,,,2025-12-02T08:15:20.000Z,2025-12-02T08:15:20.000Z,14205797,"{'type_name': 'Store', 'location_id': 3, 'company_id': 1, 'internal_id': '3', 'type': 1, 'name': 'Store #0003', 'lat': None, 'lng': None, 'barcode_abbr': '', 'manager': None, 'hours': None, 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443776,3,36348,69,12-030101,processing,2,8.5,8.5,0.0,0,0,0.0,0,0,0,0,0,MTC,,0,,2025,2025-12-01T21:42:00.000Z,,,2025-12-02T08:15:20.000Z,2025-12-02T08:15:20.000Z,14205775,"{'type_name': 'Store', 'location_id': 3, 'company_id': 1, 'internal_id': '3', 'type': 1, 'name': 'Store #0003', 'lat': None, 'lng': None, 'barcode_abbr': '', 'manager': None, 'hours': None, 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
22443770,3,36348,69,12-030095,processing,2,18.83,18.83,0.0,0,0,0.0,0,0,0,0,0,MTC,,0,,2025,2025-12-01T21:42:00.000Z,,,2025-12-02T08:15:20.000Z,2025-12-02T08:15:20.000Z,14205775,"{'type_name': 'Store', 'location_id': 3, 'company_id': 1, 'internal_id': '3', 'type': 1, 'name': 'Store #0003', 'lat': None, 'lng': None, 'barcode_abbr': '', 'manager': None, 'hours': None, 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
